Active DAGs,GlueJobs in DAGs,Number of workers,Worker Type,Average Time in Seconds,Average Time in Hours9/14/2023,Comments
hdp_labor_shortage_daily_sync,load_labor_shortage,9 DPU,,,,
camp_unload,NA,NA,NA,,,
hdp_adc_daily_sync,transform_fact_adc_split,10 DPU,G.1X,,,
,load_fact_adc_split,10 DPU,G.1X,,,
,transform_fact_las_opportunity_aggregates_daily,10 DPU,G.1X,,,
,transform_fact_adc_lift,4 DPU,G.1X,,,
,load_fact_las_opportunity_aggregates_daily,10 DPU,Standard,,,
,load_fact_adc_lift,10 DPU,G.1X,,,
,load_redshift_opportunity_with_adc,10 DPU,G.1X,,,
,load_hdp_elasticity_with_dsi,10 DPU,G.1X,,,
,load_redshift_ar_opportunities_daily,10 DPU,G.1X,,,
,load_redshift_oid_with_ssm_output,10 DPU,G.1X,,,
,load_redshift_hdp_model_siterun_details,5 DPU,Standard,,,
,load_attd_fact_points_asi,10 DPU,Standard,3477.4,0.966,
,load_las_opportunity_snapshot_daily,10 DPU,G.1X,,,
,transform_hdp_metrics_datasets_new,10 DPU,G.1X,,,
,transform_hdp_metrics_new,10 DPU,G.2X,,,
,load_hdp_metrics_new,10 DPU,Standard,,,
,transform_odyssey_hdp,10 DPU,G.2X,,,
,load_odyssey_hdp,10 DPU,Standard,,,
hits_2.0_all_events_daily_sync,load_hits_2_jobs_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_locations_all_events_daily,4 DPU,Standard,,,
,load_hits_2_locations_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_location_config_all_events_daily,4 DPU,Standard,,,
,load_hits_2_location_config_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_eligibilityCache_all_events_daily,4 DPU,G.2X,,,
,transform_hits_2_eligibility_all_events_daily_combined,4 DPU,Standard,,,
,load_hits_2_eligibility_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_applications_all_events_daily,4 DPU,Standard,,,
,load_hits_2_applications_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_offers_all_events_daily,4 DPU,Standard,,,
,load_hits_2_offers_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_transfers_all_events_daily,4 DPU,Standard,,,
,load_hits_2_transfers_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_lob_config_all_events_daily,4 DPU,Standard,,,
,load_hits_2_lob_config_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_conversions_all_events_daily,4 DPU,Standard,,,
,load_hits_2_conversions_all_events,4 DPU,Standard,,,
odyssey_apps_engagement,Odyssey_Apps_Engagement,20 DPU,G.4X,,,
shift_choice,crs_copy_files_from_aft,10 DPU,G.1X,,,
,transform-crs-preferences,10 DPU,G.1X,,,
data_validation_daily,load_data_validation_qa_result,2 DPU,Standard,,,
,load_data_validation_dq_result,2 DPU,Standard,,,
cloudtrail_logs_conduit,OE_cloudtrail_logs,NA,NA,,,
hits_2.0_hourly_sync,transform_hits_2_jobs_hourly,10 DPU,G.1X,,,
,load_hits_2_jobs_hourly,4 DPU,Standard,,,
,transform_hits_2_locations_hourly,4 DPU,Standard,,,
,load_hits_2_locations_hourly,4 DPU,Standard,,,
,transform_hits_2_location_config_hourly,10 DPU,G.2X,,,
,load_hits_2_location_config_hourly,4 DPU,Standard,,,
,transform_hits_2_eligibilityCache_hourly,4 DPU,Standard,,,
,transform_hits_2_eligibility_hourly_combined,4 DPU,Standard,,,
,load_hits_2_eligibility_hourly,4 DPU,Standard,,,
,transform_hits_2_applications_hourly,4 DPU,Standard,,,
,load_hits_2_applications_hourly,4 DPU,Standard,,,
,transform_hits_2_offers_hourly,4 DPU,Standard,,,
,load_hits_2_offers_hourly,4 DPU,Standard,,,
,transform_hits_2_transfers_hourly,4 DPU,Standard,,,
,load_hits_2_transfers_hourly,4 DPU,Standard,,,
,transform_hits_2_lob_config_hourly,4 DPU,Standard,,,
,load_hits_2_lob_config_hourly,4 DPU,Standard,,,
,transform_hits_2_conversions_hourly,4 DPU,Standard,,,
,load_hits_2_conversions_hourly,4 DPU,Standard,,,
Alliance_Metrics_Onboarding_Dag,Alliance_Metrics_Onboarding,10 DPU,G.2X,,,
palisades_adc_audit,PalisadesAdcAudit-transform-get-HDP-stacked-PHP-employees,6 DPU,G.1X,,,
,PalisadesAdcAudit-transform-get-PHP-MyTime-Schedule-employees,6 DPU,G.1X,,,
,PalisadesAdcAudit-transform-fact_adc_pay_defects_daily,6 DPU,G.1X,,,
shift_swap_process_events,ShiftSwap-Transform_sns_events_fact_shiftswap_events_hourly,4 DPU,G.1X,,,
,ShiftSwap-Load-fact_shift_swap_events_hourly,4 DPU,G.1X,,,
,ShiftSwap-Transform-Events-fact_shiftswap_events_denormalized_daily,4 DPU,G.1X,,,
,ShiftSwap-Load-fact_shiftswap_events_denormalized_daily,4 DPU,G.1X,,,
,Odyssey_Shift_Swap,10 DPU,G.1X,,,
shift_swap_process_events_new,ShiftSwap-Transform_sns_events_fact_shiftswap_events_hourly_new,4 DPU,G.1X,,,
,ShiftSwap-Load-fact_shift_swap_events_hourly_new,4 DPU,G.1X,,,
scarlet_shift_swap_recommendation_weekly_targets,SS-n_week_rolling_threshold_targets,20 DPU,G.2X,,,
scarlet_shift_swap_recommendation,ShiftSwap-recommendation-adjust_daily_threshold_targets,40 DPU,G.2X,,,
,ShiftSwap-recommendation-adjust_daily_threshold_targets,40 DPU,G.2X,,,
,ShiftSwap-recommendation-net-totality-impact,60 DPU,G.2X,,,
,ShiftSwap-recommendation-net-totality-impact,60 DPU,G.2X,,,
scarlet_shift_swap_recommendation_weekly_targets_gamma,SS-n_week_rolling_threshold_targets-gamma,20 DPU,G.2X,1769.8,0.492,
scarlet_shift_swap_recommendation_gamma,ShiftSwap-recommendation-adjust_daily_threshold_targets-gamma,20 DPU,G.4X,,,
,ShiftSwap-recommendation-adjust_daily_threshold_targets-gamma,20 DPU,G.4X,,,
,ShiftSwap-recommendation-net-totality-impact-gamma,40 DPU,G.2X,,,
shift_match_scarlet_shift_swap_intraday_gamma,ShiftMatch_ShiftSwap-Transform_sns_events_fact_shiftswap_events_hourly_test,10 DPU,G.2X,,,
,ShiftMatch_ShiftSwap-recommendation-adjust_daily_threshold_targets_test,40 DPU,G.2X,,,
,ShiftMatch_ShiftSwap-recommendation-adjust_daily_threshold_targets_test,40 DPU,G.2X,,,
,ShiftMatch_ShiftSwap-recommendation-net-totality-impact_test,40 DPU,G.2X,,,
,ShiftMatch_ShiftSwap-recommendation-net-totality-impact_test,40 DPU,G.2X,,,
shift_match_scarlet_shift_swap_recommendation_weekly_gamma,ShiftMatch_SS-n_week_rolling_threshold_targets_test,20 DPU,G.2X,,,
alps_daily_sync,load_dat_alps_metadata_na,10 DPU,G.1X,,,
cross_training_preferences,CrossTraining-Transform-Preferences-fact_ct_employee_preferences_daily,2 DPU,G.1X,,,
,CrossTraining-Load-fact_ct_employee_preferences_daily,2 DPU,G.1X,,,
cross_training_refresh_redshift_mv,NA,NA,NA,,,
cross_training_selection_engine_datasets,CrossTraining-Extract-fact_ct_selected_employees_weekly,2 DPU,G.1X,,,
,CrossTraining-Extract-fact_ct_not_selected_employees_weekly,2 DPU,G.1X,,,
,CrossTraining-Extract-fact_ct_associate_profiles_weekly,2 DPU,G.1X,,,
,CrossTraining-Extract-fact_ct_target_config_weekly,2 DPU,G.1X,,,
cross_training_selection_results,CrossTraining-Transform-AFT-SSPOT-selection-results-fact_ct_aft_results_daily,4 DPU,G.2X,,,
,CrossTraining-Load-fact_ct_aft_results_daily,4 DPU,G.1X,,,
,CrossTraining-Transform-GSF-selection-results-fact_ct_gsf_results_daily,4 DPU,G.1X,,,
,CrossTraining-Load-fact_ct_gsf_results_daily,4 DPU,G.1X,,,
,CrossTraining-Extract-Andes-coldt_xtrain_associates_v2,4 DPU,G.1X,,,
,CrossTraining-Transform-odyssey_cross_training,4 DPU,G.2X,,,
,CrossTraining-Extract-Andes-coldt_permissions_lost_full,8 DPU,G.1X,,,
eligible_associates_missing_preferences,ct_present_eligible_nopreferences,10 DPU,G.1X,,,
,load_eligible_associates_missing_preferences,10 DPU,G.1X,,,
Employee_Attrition_backfill_term,Transform_Fact_Employee_termination,5 DPU,G.2X,,,
Employee_Metrics_Daily_Aggregate,Transform_Fact_employee_UPT_hours,5 DPU,G.4X,,,
,Load_Employee_UPT,4 DPU,G.1X,,,
,Transform_Employee_Attendance,5 DPU,G.4X,,,
,Load_Employee_Attendance,20 DPU,G.1X,,,
,Transform_Fact_Employee_Latest_records,10 DPU,G.2X,,,
,Transform_Fact_Employee_termination,5 DPU,G.2X,,,
,Load_Employee_Termination_Daily,10 DPU,G.2X,,,
,Transform_UPT_Balance,15 DPU,G.4X,4843,1.345,
,Load_Employee_UPT_balance,20 DPU,G.1X,12266.6,3.407,
,Transfrom_Employee_Daily_attd_attr_upt,15 DPU,G.4X,,,
,Load_Employee_Daily_Metrics,15 DPU,G.4X,,,
employee_roster_etl_pipeline_daily_snapshot,WSS_Standard-Extract-Andes-Employee-Roster-Intraday-daily-snapshot-new,20 DPU,G.2X,2751,0.764,
,WSS_Standard-load-fact_employee_roster_daily_snapshot,10 DPU,G.1X,,,
employee_roster_pipeline,WSS_Standard-Extract-Andes-Employee-Roster-Intraday-new,20 DPU,G.2X,,,
,WSS_Standard-load-fact_employee_roster_daily-new,10 DPU,G.2X,,,
Fact_mytime_hours,Transform_Fact_Employee_Mytime_hours,50 DPU,G.2X,11769.8,3.269,
,Transform_Fact_Employee_Mytime_hours,50 DPU,G.2X,11769.8,3.269,
,Load_MyTime_Hours,10 DPU,G.1X,3000,0.833,
,Load_MyTime_Hours,10 DPU,G.1X,,,
flex_las_pipeline,Flattern_FlexAdjustment_scheduling_json_rawData,10 DPU,G.1X,,,
,Load_FlexAdjustment_LAS,10 DPU,G.1X,,,
glue_las_pipeline,Extract-las-incentive-raw-data,10 DPU,G.1X,,,
,Extract-las-opportunity-raw-data,10 DPU,G.2X,,,
,Load-las-incentive-raw-WFE,10 DPU,G.2X,,,
,Load-las-opportunity-raw-WFE,10 DPU,G.2X,,,
,Transform_Opportunities_Incentive_Aggregate,10 DPU,G.2X,,,
,Load_Opportunities_Incentive_Aggregate-WFE,10 DPU,G.1X,,,
load_umbrella_lms_datasets,CrossTraining-Umreblla-TransformCertificates-dim_umbrella_certificate_definitions,10 DPU,G.2X,,,Code has been commented out
mytime_employee_hours_worked_pipeline,WSSStandard-MyTime-fact_hours_worked_by_paycode,20 DPU,G.2X,,,
,WSS_Standard_load_fact_mytime_hours_worked_by_paycode_daily,10 DPU,G.2X,,,
,WSSStandard-MyTime-ReportingTable-fact_mytime_hours_worked_reporting_daily,20 DPU,G.2X,,,
,WSS_Standard_MyTimeReporting_load_fact_mytime_hours_worked_reporting_daily,20 DPU,G.2X,,,
Odyssey_HITS,Transform_Odyssey_Hits_base,20 DPU,G.2X,6985.6,1.94,
,Load_Odyssey_Hits_base,5 DPU,G.2X,,,
paycodes_monthly_sync,sftp_s3_sync,NA,NA,,,
,load_payroll_paycode_details,2 DPU,Standard,,,
payroll_weekly_sync,sftp_s3_sync,NA,NA,,,
,transform_fact_payroll_all_earnings,9 DPU,Standard,,,
,load_fact_payroll_all_earnings,9 DPU,Standard,,,
postingRevert_las_pipeline,Extract_las_PostingRevert,10 DPU,G.1X,,,
,Load_las_PostingRevert,10 DPU,G.1X,,,
ready_odyssey_dag,Ready_Odyssey_Transformation,15 DPU,G.2X,,,
,Odyssey_Redshift_Ready_Load,10 DPU,G.2X,,,
shiftswap_site_configurations,Export_shiftxchange_ddb_data,10 DPU,G.1X,,,
sites-info-populate,sites_info_populate,15 DPU,G.2X,,,
unload_ct_eligible_population,NA,NA,NA,,,
employee_roster_etl_pipeline_daily_snapshot_test,DAG not avaliable ,NA,NA,,,
Fact_mytime_hours_w_exceptions,Transform_Fact_Employee_Mytime_hours_w_timesheetid,25 DPU,G.4X,,,
,Fact_MyTime_Exceptions,25 DPU,G.4X,,,
,Fact_Transform_MyTime_w_Exceptions,20 DPU,G.2X,,,